,Action,satisfaction,importance,opportunity_score
5,Actor0_Action1,3.8143072167110317,4.5187,5.223092783288968
3,Actor0_Action2,0.7433225076683403,6.3636,11.98387749233166
1,Actor0_Action3,8.049625227376213,5.7219,5.7219
0,Actor0_Action4,3.228625233051253,2.8877,2.8877
2,Actor0_Action5,-0.39169460454823335,3.3422,7.076094604548233
4,Actor0_Action6,7.496981081939808,5.2941,5.2941
9,Actor1_Action1,3.7856728884703363,4.5187,5.2517271115296635
10,Actor1_Action2,-2.440788456312561,8.7433,19.92738845631256
6,Actor1_Action3,1.3393874585060517,2.4866,3.6338125414939486
8,Actor1_Action4,9.999999999999998,5.7219,5.7219
11,Actor1_Action5,8.388558405311224,4.5989,4.5989
7,Actor1_Action6,9.819595704819843,10.0,10.180404295180157
17,Actor2_Action1,-4.542451817476178,0.8556,6.253651817476178
16,Actor2_Action2,3.2706610109130274,0.6417,0.6417
14,Actor2_Action3,-0.1483948166909641,0.8021,1.7525948166909642
15,Actor2_Action4,-3.025897361085881,0.6417,4.309297361085881
13,Actor2_Action5,-4.048422714258127,1.3636,6.775622714258127
12,Actor2_Action6,-7.832060426897836,0.508,8.848060426897835
19,Actor3_Action1,-1.5703069897538509,2.1123,5.7949069897538505
21,Actor3_Action2,-0.8638392210092111,1.6845,4.232839221009211
20,Actor3_Action3,-7.003980115935327,1.123,9.249980115935326
22,Actor3_Action4,0.564851991563746,0.8289,1.092948008436254
18,Actor3_Action5,-0.7777012474656765,2.1925,5.162701247465677
23,Actor3_Action6,0.5462120230966663,0.9358,1.3253879769033337
24,Actor4_Action1,-3.422954754394368,0.0,3.422954754394368
28,Actor4_Action2,-10.0,0.0802,10.1604
29,Actor4_Action3,-0.8542820362825952,0.0267,0.9076820362825953
27,Actor4_Action4,-1.175769186305759,0.0535,1.2827691863057593
26,Actor4_Action5,-1.0098924873247355,0.0535,1.1168924873247357
25,Actor4_Action6,0.2085844990173562,0.0,0.0
31,Actor5_Action0,4.210722999985019,4.5187,4.826677000014981
32,Actor5_Action1,-2.1710293801919054,4.3316,10.834229380191905
30,Actor5_Action2,4.295935694657247,4.6791,5.062264305342753
